name,party,page_views
Henry Carscallen,CPC,39
Robert John McCormick,Liberal,62
Walter William Meacham,CPC,84
Patrick Kennedy,CPC,356
John L. Brown,NDP,140
Joseph Henry Widdifield,Liberal,131
George Adam Nixon,CPC,171
Greg Kyllo,Liberal,972
Hugh Smith,CPC,79
Joseph Tait,Liberal,149
James Wilson,CPC,79
James Marshall Ferris,Liberal,171
Joseph Élie Cholette,Liberal,42
Joe Dickson,Liberal,1694
Percy Hatfield,NDP,2296
Mitzie Hunter,Liberal,6269
Ahmed Hussen,Liberal,44257
Kellie Leitch,CPC,12200
Christine Cusanelli,CPC,582
Mark Gerretsen,Liberal,9578
John Leys,Liberal,74
Rod Gardner,CPC,148
Joyce Savoline,CPC,459
Anita Bergman,Liberal,276
Mike Bernier,Liberal,2453
Doug Bing,Liberal,274
Joe Ceci,NDP,3832
Rick Fraser,CPC,912
Wayne Gates,NDP,3531
Simon Gibson,Liberal,879
Marvin Hunt,Liberal,934
Kerri Irvin-Ross,NDP,742
Donald Jackson,NDP,56
Maureen Kubinec,CPC,409
John Martin,Liberal,575
Mike Morris,Liberal,1956
Suzanne Murray,NDP,145
William Gould Newman,CPC,492
Coralee Oakes,Liberal,616
Blake Pedersen,CPC,393
Henry James Price,CPC,66
Sohail Quadri,CPC,728
Selina Robinson,NDP,3987
Peggy Sattler,NDP,2388
John Smith,Liberal,99
John Roxborough Smith,CPC,114
Maynard Sonntag,NDP,487
Violet Stanger,NDP,91
Todd Stone,Liberal,2384
Jackie Tegart,Liberal,1416
Laurie Throness,Liberal,1347
Grant Whitmore,NDP,89
Matt Wiebe,NDP,842
Horst Schmid,CPC,862
Hugh Edwin Munroe,CPC,193
Hugh Guthrie,CPC,1601
Hédard Robichaud,Liberal,430
Thomas Wilson Paterson,Liberal,371
Jonathan McCully,Liberal,1780
Ian Alistair Mackenzie,Liberal,2534
Nérée Arsenault,CPC,169
L. D. Taylor,Liberal,1024
John Fraser,Liberal,7698
Jim Heron,CPC,111
Norm Jamison,NDP,229
Linda Larson,Liberal,446
Marilyn More,NDP,273
Jack Reimer,CPC,396
Jennifer Rice,NDP,2780
Charles Martin,CPC,67
J. Léonce Bernard,Liberal,294
Jack Austin,Liberal,928
Jack Davis,Liberal,981
Jack Horner,Liberal,2020
Jack Wiebe,Liberal,657
Jean-Pierre Côté,Liberal,1064
James Albert Manning Aikins,CPC,511
Larry Campbell,Liberal,8525
James Cox Aikins,Liberal,648
Jean-Paul Deschatelets,Liberal,230
Jean-Pierre Goyer,Liberal,936
Jean-Yves Duclos,Liberal,25233
Jean Lesage,Liberal,18940
Jean Marchand,Liberal,4200
Leonard Quilty,Liberal,83
Jordan Sturdy,Liberal,1740
William Gore Willson,CPC,72
Maurice Bélanger,Liberal,107
Hollis Beckett,CPC,173
Eleanor McMahon,Liberal,1363
John Betts,CPC,230
John Beverley Robinson,CPC,1484
John Burton,NDP,212
John C. Bowen,Liberal,821
John Crosbie,CPC,14810
John Duncan MacLean,Liberal,677
John Hart,Liberal,1402
Paul Davis,CPC,4787
Joe Greene,Liberal,617
John Lynch-Staunton,CPC,2419
John Watson MacNaught,Liberal,215
John McLaughlin,CPC,91
John Mercer Reid,Liberal,497
John Michael Uhrich,Liberal,295
Laurie Scott,CPC,5103
John Munro,Liberal,3387
John Oliver,Liberal,2627
Jack Garland,Liberal,826
John Robert Nicholson,Liberal,1437
John Roberts,Liberal,1463
John Shaw,CPC,380
John Stewart McDiarmid,Liberal,373
Andrew Wilkinson,Liberal,14238
John Willoughby Crawford,CPC,474
Joseph Alphonsus Bernard,Liberal,211
Marvin Shore,CPC,2002
Ralph Knox,CPC,59
Hector Lang,Liberal,155
Judd Buchanan,Liberal,912
Judy Erola,Liberal,1313
Paul Kinsman,CPC,153
George Peck,CPC,221
James A. Taylor,CPC,435
Charles Daley,CPC,479
Norman Cafik,Liberal,426
Mario Beaulieu,BQ,7328
Granville Anderson,Liberal,1961
Yvan Baker,Liberal,9676
Chris Ballard,Liberal,1370
Joe Cimino,NDP,661
Jennifer French,NDP,2784
Lisa Gretzky,NDP,8216
Ann Hoggarth,Liberal,499
Marie-France Lalonde,Liberal,7919
Arthur Potts,Liberal,984
Cristina Martins,Liberal,1433
Kathryn McGarry,Liberal,4050
Indira Naidoo-Harris,Liberal,3700
Daiene Vernile,Liberal,1074
Han Dong,Liberal,10231
Sophie Kiwala,Liberal,1186
Harinder Malhi,Liberal,2529
Ron Veale,Liberal,435
Peter Adolphus McIntyre,Liberal,227
John Barlow,CPC,5127
Arnold Chan,Liberal,5096
Mike Laffin,CPC,404
Richard McBride,CPC,3715
Maxine Cochran,CPC,112
James Maloney,Liberal,5197
Thomas Kelso Creighton,CPC,66
James Ditson Service,Liberal,400
David Yurdiga,CPC,6200
Warren Allmand,Liberal,1500
Mark MacGuigan,Liberal,1787
Greg Selinger,NDP,9381
Henri-Gustave Joly de Lotbinière,Liberal,2345
James Armstrong Richardson,Liberal,7098
Lawrence Pennell,Liberal,403
Jeff Carr,CPC,824
Gary Crossman,CPC,769
Brian Keirstead,CPC,103
Alexander Coutts,CPC,169
Michael Connolly,NDP,1926
Clifford Huskilson,Liberal,160
John C. O'Sullivan,CPC,71
