Election Type,Election Date,Province / Territory,Constituency,First Name,Last Name,Political Party,Election Result
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton West,Sandra,Hunter,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton West,Brent,Kinzel,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton West,Kelly,McCauley,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton West,Margaret,Morton,Marxist-Leninist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton—Wetaskiwin,Tyler,Beauchamp,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton—Wetaskiwin,Travis,Calliou,Veterans Coalition Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton—Wetaskiwin,Hugo,Charles,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton—Wetaskiwin,Mike,Lake,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton—Wetaskiwin,Ronald,Thiering,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Foothills,John,Barlow,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Foothills,Daniel,Hunter,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Foothills,Brett,Rogers,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Foothills,Paula,Shimp,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Foothills,"Mary-Ellen ""Michelle""",Traxel,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Foothills,Joshua,Wylie,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Fort McMurray—Cold Lake,Abdifatah,Abdi,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Fort McMurray—Cold Lake,Brian,Deheer,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Fort McMurray—Cold Lake,Laila,Goodridge,Conservative Party of Canada,Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Fort McMurray—Cold Lake,Shawn,McDonald,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Fort McMurray—Cold Lake,Jonathan,Meyers,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Fort McMurray—Cold Lake,Garnett,Robinson,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Fort McMurray—Cold Lake,Hughie,Whitmore,Veterans Coalition Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Grande Prairie—Mackenzie,Dan,Campbell,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Grande Prairie—Mackenzie,Donovan,Eckstrom,Parti Rhinocéros Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Grande Prairie—Mackenzie,Shawn,McLean,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Grande Prairie—Mackenzie,Ambrose,Ralph,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Grande Prairie—Mackenzie,Jennifer,Villebrun,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Grande Prairie—Mackenzie,Chris,Warkentin,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Lakeland,Desiree,Bissonnette,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lakeland,Kira,Brunner,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lakeland,Ann,McCormack,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lakeland,Frederick,Sirett,Maverick Party,Defeated
